Nama Produk,Kategori,Jumlah,Harga,Bulan,Tanggal
Laptop ASUS ROG,Elektronik,5,12000000,Januari,2024-01-15
Mouse Logitech MX Master,Elektronik,20,850000,Januari,2024-01-20
Keyboard Mechanical,Elektronik,15,1500000,Januari,2024-01-25
Monitor LG 27 inch,Elektronik,8,3500000,Februari,2024-02-10
Webcam Logitech C920,Elektronik,12,1200000,Februari,2024-02-15
Headset SteelSeries,Elektronik,10,2500000,Februari,2024-02-20
Meja Kerja Minimalis,Furnitur,3,2500000,Maret,2024-03-05
Kursi Ergonomis,Furnitur,5,3500000,Maret,2024-03-10
Lampu Meja LED,Furnitur,25,350000,Maret,2024-03-15
Buku Programming JavaScript,Buku,30,150000,April,2024-04-01
Buku React Complete Guide,Buku,25,200000,April,2024-04-05
Buku CSS Mastery,Buku,20,175000,April,2024-04-10
Notebook A4 100 lembar,Alat Tulis,50,25000,Mei,2024-05-01
Pulpen Pilot G2,Alat Tulis,100,15000,Mei,2024-05-05
Stabilo Highlighter,Alat Tulis,40,12000,Mei,2024-05-10
Kabel USB-C,Elektronik,35,75000,Juni,2024-06-01
Power Bank 20000mAh,Elektronik,18,450000,Juni,2024-06-05
Kabel HDMI,Elektronik,22,150000,Juni,2024-06-10

